"_alternate_title","_api_name","_cover_image","_dir","_director","_episode_count","_episode_length","_finished_airing","_genres","_rating_1","_rating_2","_reponse","_show_type","_started_airing","_status","_synopsis","_title","_type","_url","_votes","_year"
"My-Hime","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/077/large/938188352.jpg?1417463268","Mai Hime","","26","23","2005-03-31","[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Magic'}, {'name': 'Fantasy'}, {'name': 'Romance'}, {'name': 'School'}, {'name': 'Mecha'}, {'name': 'Shoujo Ai'}]","3.71015827578531","","","TV","2004-09-30","Finished Airing","Thirteen girls, each with the ability to materialize ""Elements"" and summon metallic guardians called ""Childs"" have been brought to Fuuka Academy to battle mysterious creatures called Orphans. Each with a different personality and background, they must decide who they truly care about and why they fight. ","Mai-HiME","anime","https://hummingbird.me/anime/mai-hime","",""
"Penguindrum","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/006/318/large/Mawaru.Penguindrum.full.1082315.jpg?1440886754","Mawaru Penguindrum","","24","24","2011-12-23","[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Psychological'}]","4.11786512235546","","","TV","2011-07-08","Finished Airing","Once you make a decision, does the universe conspire to make it happen? Is destiny a matter of chance, a matter of choice or the complex outcome of thousands of warring strands of fate? All twins Kanba and Shoma know is that when their terminally ill sister Himari collapses at the aquarium, her death is somehow temporarily reversed by the penguin hat that she had asked for. It's a provisional resurrection, however, and it comes at a price: to keep Himari alive they need to find the mysterious Penguin Drum. In order to do that, they must first find the links to a complex interlocking chain of riddles that has wrapped around their entire existence, and unravel the knots that tie them to mystifying diary and a baffling string of strangers and semi-acquaintances who all have their own secrets, agendas and ""survival strategies."" And in order for Himari to live, someone else's chosen destiny will have to change. It's a story of love, fate, life, death... and Penguins!

(Source: Sentai Filmworks)","Mawaru Penguindrum","anime","https://hummingbird.me/anime/mawaru-penguindrum","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/328/large/328.jpg?1408441233","Memories","","3","30","2002-03-06","[{'name': 'Drama'}, {'name': 'Romance'}]","3.17265759608428","","","OVA","2001-11-21","Finished Airing","Tomoya Mikami's life changed one day when his girlfriend Ayaka was hit by a car and killed on her way to meet Tomoya. He blamed himself for her death and never was the same after the accident. He began acting callously towards Yue and his other friends. Furthermore, every time Tomoya gets involved with a new girl, he sees images of Ayaka in his dreams. He decides he needs to find a way to say goodbye to his lost love once and for all, while dealing with several side romances at the same time.
(Source: ANN)","Memories Off","anime","https://hummingbird.me/anime/memories-off","",""
"The Future Diary Specials","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/006/750/large/6750.jpg?1408459300","Mirai Nikki","","10","2","2012-08-31","[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Mystery'}, {'name': 'Supernatural'}, {'name': 'Psychological'}, {'name': 'Thriller'}]","3.21162631825871","","","Special","2012-01-27","Finished Airing","Unaired ""Ura Mirai Nikki"" anime (the short episodes of Mur Mur inserted at the end of the main episodes) included in the Mirai Nikki Blu-rays.","Mirai Nikki: Ura Mirai Nikki","anime","https://hummingbird.me/anime/mirai-nikki-ura-mirai-nikki","",""
"Rin: Daughters of Mnemosyne","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/002/946/large/a6cVcXm.jpg?1419000225","Mnemosyne","","6","45","2008-07-07","[{'name': 'Action'}, {'name': 'Sci-Fi'}, {'name': 'Supernatural'}, {'name': 'Horror'}, {'name': 'Yuri'}]","3.70568407127741","","","TV","2008-02-04","Finished Airing","Rin Asogi is an immortal private detective with a thirst for vodka and a talent for attracting things that go bump in the night. In a series of nightmarish vignettes spanning sixty-five years, Rin's lush body is sadistically pierced, blown up, and mulched to a bloody pulp. The fiend behind her tortured existence is Apos, an eternal being obsessed with sacrificing Rin to Yggdrasil, the tree of all life. While Rin struggles to unravel the secrets of her endless agony, Apos lurks in the shadows, eager to tear into her ripe body and devour the memories of her countless lives. Rin's no stranger to the realm of the dead, but her next visit could last forever. 
(Source: FUNimation)","Mnemosyne: Mnemosyne no Musume-tachi","anime","https://hummingbird.me/anime/mnemosyne-mnemosyne-no-musume-tachi","",""
"Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/007/239/large/Mondaijiwholegroup.jpg?1416243092","Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo","","10","23","2013-03-16","[{'name': 'Supernatural'}, {'name': 'Fantasy'}]","3.88562510488649","","","TV","2013-01-12","Finished Airing","Izayoi Sakamaki, Asuka Kudou, and You Kasugabe have tremendous psychic powers and are bored with the regular world. An envelope arrives for each person, and when each opens their envelope, they are stunned to see the scenery around them change to a world they had never encountered before. They've been summoned by the Black Rabbit to help the community ""No Name"" to overthrow the Devil King.
(Source: Crunchyroll)","Problem Children Are Coming From Another World, Aren't They?","anime","https://hummingbird.me/anime/problem-children-are-coming-from-another-world-aren-t-they","",""
"None","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/003/835/large/7S0djsM.jpg?1417531584","Mouryou no Hako","","13","23","2008-12-31","[{'name': 'Mystery'}, {'name': 'Supernatural'}, {'name': 'Thriller'}]","3.56118741744854","","","TV","2008-10-08","Finished Airing","The story follows a series of bizarre murders of schoolgirls who have been dismembered and stuffed into boxes. The private investigator hired by a missing daughter's mother joins forces with an antique book seller and others to unravel the murder spree.
(Source: ANN)","Mouryou no Hako","anime","https://hummingbird.me/anime/mouryou-no-hako","",""
"None","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/643/large/643.jpg?1408441960","Mujin Wakusei Survive","","52","25","2004-10-28","[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}, {'name': 'Fantasy'}, {'name': 'Slice of Life'}]","3.76046342544269","","","TV","2003-10-16","Finished Airing","The story is set in the 22nd century where space travel, planet colonization and anti-gravity basketball are practically everyday things. Planet Earth has become uninhabitable, and therefore people live in colonies on the surrounding planets. On a school field trip, a mistake causes the protagonist, a young transfer student named Luna, her pet robot, and six of her classmates to be thrown through a gravity storm and crash land on a seemingly uninhabited planet. Without any experience of untamed nature, the motley crew is faced with a challenging struggle to stay alive until rescue comes. If it comes... But is the planet really uninhabited....? ","Mujin Wakusei Survive","anime","https://hummingbird.me/anime/mujin-wakusei-survive","",""
"Mushishi: The Next Chapter","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/008/204/large/5984.jpg?1416277734","Mushishi","","10","25","2014-06-21","[{'name': 'Adventure'}, {'name': 'Mystery'}, {'name': 'Supernatural'}, {'name': 'Fantasy'}]","4.37871942244827","","","TV","2014-04-05","Finished Airing","Second season of Mushishi.","Mushishi Zoku Shou","anime","https://hummingbird.me/anime/mushishi-zoku-shou","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/306/large/ibjjIsmbb7rhmt.jpg?1416183574","Serial Experiments Lain","","13","23","1998-09-28","[{'name': 'Drama'}, {'name': 'Sci-Fi'}, {'name': 'Mystery'}, {'name': 'Supernatural'}, {'name': 'Psychological'}, {'name': 'Dementia'}]","4.07175564719495","","","TV","1998-07-06","Finished Airing","Lain Iwakura appears to be an ordinary girl, with almost no experience with computers. Yet the sudden suicide of a schoolmate, and a number of strange occurrences, conspire to pull Lain into the world of the Wired, where she gradually learns that nothing is what it seems to be... not even Lain herself. 
(Source: ANN)","Serial Experiments Lain","anime","https://hummingbird.me/anime/serial-experiments-lain","",""
